X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.003,0.0587778732103418,0.003,0.0643789501751398,0.003,0,0.003,0.214868208294045
0.01,0.105363447696582,0.01,0.0699102970130584,0.01,0,0.01,0.0710280414503906
0.015,0.0900291159180306,0.015,0.0757666650283905,0.015,0,0.015,0
0.003,0.0961876408117369,0.003,0.0607432493660412,0.003,0,0.003,0.27880345577092
0.015,0.167134328102148,0.015,0.0665990931018571,0.015,0.0227769369887223,0.015,0.164639381965541
0.026,0.227983937008754,0.026,0.0728031545126962,0.026,0.0542291473527717,0.026,0.0457060084928969
0.036,0.257651781098075,0.036,0.0799424864957355,0.036,0.0814059131458345,0.036,0
0.043,0.297977026832539,0.043,0.087322180160475,0.043,0.103945646181249,0.043,0
0.008,0.127115646624743,0.008,0.0572822725462457,0.008,0.040304799462769,0.008,0.334149850395327
0.026,0.215441470178982,0.026,0.0634641070984593,0.026,0.0976293836911797,0.026,0.240686645823727
0.041,0.287790276315319,0.041,0.0700176420463894,0.041,0.136317349568667,0.041,0.133974895709068
0.053,0.383317820007332,0.053,0.0775635648851565,0.053,0.168340238710121,0.053,0.0730889718910216
0.018,0.154011331061419,0.051,0.0853645011628711,0.051,0.194010008681973,0.051,0.0266360353451685
0.042,0.255540129216288,0.018,0.0540190651209571,0.018,0.0947832761274323,0.018,0.384180631300272
0.057,0.335594106492217,0.042,0.0605298975800306,0.042,0.160110231275202,0.042,0.306250784755915
0.068,0.405886567794049,0.057,0.0674346769746225,0.057,0.202354864764185,0.057,0.207449270846415
0.076,0.535175224531855,0.068,0.0753862786197658,0.068,0.236310459464374,0.068,0.118301213919874
0.034,0.178005355809667,0.076,0.0836106286085956,0.076,0.262881275559427,0.076,0.150128280165979
0.06,0.289933976835437,0.034,0.0509786171455704,0.034,0.142584372092962,0.034,0.430409221220054
0.078,0.37536159229162,0.06,0.0578191861239625,0.06,0.212486413061544,0.06,0.364665713524575
0.088,0.448339858212389,0.078,0.0650748987787639,0.078,0.256210096816429,0.078,0.271280063759095
0.038,0.214766179886076,0.088,0.0734354303836051,0.088,0.290539916261365,0.088,0.183532720329802
0.023,0.18972102328224,0.038,0.0647899514783928,0.038,0.0605418238707886,0.038,0.220735439260165
0.049,0.248921905781499,0.023,0.0654548327363247,0.023,0.041472116856396,0.023,0.191550940980335
0.039,0.23718585334016,0.049,0.062034116419568,0.039,0.115814373647338,0.049,0.279308562288859
0.03,0.223104894158944,0.039,0.0624006957361152,0.03,0.104084582261647,0.039,0.26588994962106
0.008,0.0588093105681707,0.03,0.0630925500460658,0.008,0,0.03,0.249626279446386
0.016,0.105456009218783,0.008,0.0643651822992059,0.016,0,0.008,0.189145400462654
0.022,0.0902190728483784,0.016,0.0698933651067924,0.022,0,0.016,0.0560948718621914
0.022,0.0962865913292897,0.022,0.0757476558378167,0.022,0,0.022,0
0.034,0.167386646831366,0.022,0.0607246743447061,0.034,0.0229976973382919,0.022,0.253049256127626
0.043,0.228385393522189,0.034,0.0665746942798583,0.043,0.0545344176955468,0.034,0.149770827317782
0.047,0.258657768555256,0.043,0.0727739137164237,0.047,0.0817904227171033,0.043,0.0431745732905844
0.051,0.299268657083203,0.047,0.0799082296008565,0.051,0.104415218730335,0.047,0
0.053,0.1273458012825,0.051,0.0872819447175864,0.053,0.04056903531868,0.051,0
0.074,0.215933172118924,0.053,0.0572550926080369,0.074,0.0980549435733549,0.053,0.308445281962628
0.08,0.288536718130514,0.074,0.0634286639190172,0.08,0.136883302354355,0.074,0.225970058407034
0.086,0.434156571744924,0.08,0.0699740346711067,0.086,0.194787031912221,0.08,0.13168713163819
